Mean,Type
0.45257,Regression
0.09314,Regression
0.07853,Regression
0.02,Classification
0.0026,Classification
0.0002,Classification
0.00375,Classification
0.00433,Classification
0.00865,Classification
0.00432,Classification
0.47323,Regression
0.45358,Regression
1e-05,Classification
0.02193,Classification
0.00274,Regression
0.1197,Regression
0.0007,Classification
0.0008,Classification
0.06779,Regression
0.73405,Regression
0.00375,Regression
0.01,Classification
0.00607,Classification
0.45411,Regression
