,LotArea,Neighborhood,HouseStyle,RoofStyle,Foundation,CentralAir,YrSold,LandContour,Utilities,Condition1,Fireplaces,SaleType,KitchenQual,OverallQual,Heating,OpenPorchSF,GarageType,GarageFinish,GarageCars,GarageArea,GarageQual,FullBath,1stFlrSF,SalePrice
0,8450,CollgCr,2Story,Gable,PConc,Y,2008,Lvl,AllPub,Norm,0,WD,Gd,7,GasA,61,Attchd,RFn,2,548,TA,2,856,208500
1,9600,Veenker,1Story,Gable,CBlock,Y,2007,Lvl,AllPub,Feedr,1,WD,TA,6,GasA,0,Attchd,RFn,2,460,TA,2,1262,181500
2,11250,CollgCr,2Story,Gable,PConc,Y,2008,Lvl,AllPub,Norm,1,WD,Gd,7,GasA,42,Attchd,RFn,2,608,TA,2,920,223500
3,9550,Crawfor,2Story,Gable,BrkTil,Y,2006,Lvl,AllPub,Norm,1,WD,Gd,7,GasA,35,Detchd,Unf,3,642,TA,1,961,140000
4,14260,NoRidge,2Story,Gable,PConc,Y,2008,Lvl,AllPub,Norm,1,WD,Gd,8,GasA,84,Attchd,RFn,3,836,TA,2,1145,250000
5,14115,Mitchel,1.5Fin,Gable,Wood,Y,2009,Lvl,AllPub,Norm,0,WD,TA,5,GasA,30,Attchd,Unf,2,480,TA,1,796,143000
6,10084,Somerst,1Story,Gable,PConc,Y,2007,Lvl,AllPub,Norm,1,WD,Gd,8,GasA,57,Attchd,RFn,2,636,TA,2,1694,307000
7,10382,NWAmes,2Story,Gable,CBlock,Y,2009,Lvl,AllPub,PosN,2,WD,TA,7,GasA,204,Attchd,RFn,2,484,TA,2,1107,200000
8,6120,OldTown,1.5Fin,Gable,BrkTil,Y,2008,Lvl,AllPub,Artery,2,WD,TA,7,GasA,0,Detchd,Unf,2,468,Fa,2,1022,129900
9,7420,BrkSide,1.5Unf,Gable,BrkTil,Y,2008,Lvl,AllPub,Artery,2,WD,TA,5,GasA,4,Attchd,RFn,1,205,Gd,1,1077,118000
10,11200,Sawyer,1Story,Hip,CBlock,Y,2008,Lvl,AllPub,Norm,0,WD,TA,5,GasA,0,Detchd,Unf,1,384,TA,1,1040,129500
11,11924,NridgHt,2Story,Hip,PConc,Y,2006,Lvl,AllPub,Norm,2,New,Ex,9,GasA,21,BuiltIn,Fin,3,736,TA,3,1182,345000
12,12968,Sawyer,1Story,Hip,CBlock,Y,2008,Lvl,AllPub,Norm,0,WD,TA,5,GasA,0,Detchd,Unf,1,352,TA,1,912,144000
13,10652,CollgCr,1Story,Gable,PConc,Y,2007,Lvl,AllPub,Norm,1,New,Gd,7,GasA,33,Attchd,RFn,3,840,TA,2,1494,279500
14,10920,mes,1Story,Hip,CBlock,Y,2008,Lvl,AllPub,Norm,1,WD,TA,6,GasA,213,Attchd,RFn,1,352,TA,1,1253,157000
15,6120,BrkSide,1.5Unf,Gable,BrkTil,Y,2007,Lvl,AllPub,Norm,0,WD,TA,7,GasA,112,Detchd,Unf,2,576,TA,1,854,132000
16,11241,mes,1Story,Gable,CBlock,Y,2010,Lvl,AllPub,Norm,1,WD,TA,6,GasA,0,Attchd,Fin,2,480,TA,1,1004,149000
17,10791,Sawyer,1Story,Gable,Slab,Y,2006,Lvl,AllPub,Norm,0,WD,TA,4,GasA,0,CarPort,Unf,2,516,TA,2,1296,90000
18,13695,SawyerW,1Story,Gable,PConc,Y,2008,Lvl,AllPub,RRAe,0,WD,Gd,5,GasA,102,Detchd,Unf,2,576,TA,1,1114,159000
19,7560,mes,1Story,Hip,CBlock,Y,2009,Lvl,AllPub,Norm,0,COD,TA,5,GasA,0,Attchd,Unf,1,294,TA,1,1339,139000
20,14215,NridgHt,2Story,Gable,PConc,Y,2006,Lvl,AllPub,Norm,1,New,Gd,8,GasA,154,BuiltIn,RFn,3,853,TA,3,1158,325300
21,7449,IDOTRR,1.5Unf,Gable,PConc,Y,2007,Bnk,AllPub,Norm,1,WD,Gd,7,GasA,0,Attchd,Unf,1,280,TA,1,1108,139400
22,9742,CollgCr,1Story,Hip,PConc,Y,2008,Lvl,AllPub,Norm,1,WD,Gd,8,GasA,159,Attchd,RFn,2,534,TA,2,1795,230000
23,4224,MeadowV,1Story,Gable,PConc,Y,2007,Lvl,AllPub,Norm,1,WD,TA,5,GasA,110,Attchd,Unf,2,572,TA,1,1060,129900
24,8246,Sawyer,1Story,Gable,CBlock,Y,2010,Lvl,AllPub,Norm,1,WD,Gd,5,GasA,90,Attchd,Unf,1,270,TA,1,1060,154000
25,14230,NridgHt,1Story,Gable,PConc,Y,2009,Lvl,AllPub,Norm,1,WD,Gd,8,GasA,56,Attchd,RFn,3,890,TA,2,1600,256300
26,7200,mes,1Story,Gable,CBlock,Y,2010,Lvl,AllPub,Norm,0,WD,Gd,5,GasA,32,Detchd,Unf,2,576,TA,1,900,134800
27,11478,NridgHt,1Story,Gable,PConc,Y,2010,Lvl,AllPub,Norm,1,WD,Gd,8,GasA,50,Attchd,RFn,3,772,TA,2,1704,306000
28,16321,mes,1Story,Gable,CBlock,Y,2006,Lvl,AllPub,Norm,2,WD,TA,5,GasA,258,Attchd,RFn,1,319,TA,1,1600,207500
29,6324,BrkSide,1Story,Gable,BrkTil,N,2008,Lvl,AllPub,Feedr,0,WD,Fa,4,GasA,0,Detchd,Unf,1,240,Fa,1,520,68500
30,8500,IDOTRR,2Story,Gambrel,BrkTil,N,2008,Lvl,AllPub,Feedr,0,WD,TA,4,GasA,54,Detchd,Unf,1,250,TA,1,649,40000
31,8544,Sawyer,1Story,Gable,CBlock,Y,2008,Lvl,AllPub,Norm,0,WD,Gd,5,GasA,65,Attchd,Unf,1,271,TA,1,1228,149350
32,11049,CollgCr,1Story,Gable,PConc,Y,2008,Lvl,AllPub,Norm,0,WD,Gd,8,GasA,30,Attchd,RFn,2,484,TA,2,1234,179900
33,10552,mes,1Story,Hip,CBlock,Y,2010,Lvl,AllPub,Norm,1,WD,Gd,5,GasA,38,Attchd,RFn,2,447,TA,1,1700,165500
34,7313,NridgHt,1Story,Hip,PConc,Y,2007,Lvl,AllPub,Norm,1,WD,Ex,9,GasA,47,Attchd,Fin,2,556,TA,2,1561,277500
35,13418,NridgHt,2Story,Gable,PConc,Y,2006,Lvl,AllPub,Norm,1,WD,Gd,8,GasA,32,BuiltIn,Fin,3,691,TA,3,1132,309000
36,10859,CollgCr,1Story,Gable,PConc,Y,2009,Lvl,AllPub,Norm,0,WD,TA,5,GasA,64,Attchd,Unf,2,672,TA,1,1097,145000
37,8532,mes,1Story,Hip,CBlock,Y,2009,Lvl,AllPub,Norm,1,WD,TA,5,GasA,0,Attchd,Fin,2,498,TA,1,1297,153000
38,7922,mes,1Story,Gable,CBlock,Y,2010,Lvl,AllPub,Norm,0,WD,Gd,5,GasA,52,Detchd,Unf,1,246,TA,1,1057,109000
39,6040,Edwards,1Story,Gable,PConc,N,2008,Lvl,AllPub,Norm,0,WD,Fa,4,GasA,0,,,0,0,,2,1152,82000
40,8658,mes,1Story,Gable,CBlock,Y,2006,Lvl,AllPub,Norm,1,WD,TA,6,GasA,138,Attchd,RFn,2,440,TA,2,1324,160000
41,16905,Timber,1Story,Gable,CBlock,Y,2007,Lvl,AllPub,Norm,2,WD,TA,5,GasA,104,Attchd,RFn,1,308,TA,1,1328,170000
42,9180,SawyerW,SFoyer,Gable,CBlock,Y,2007,Lvl,AllPub,Norm,0,WD,Gd,5,GasA,0,Attchd,RFn,2,504,TA,1,884,144000
43,9200,CollgCr,1Story,Hip,CBlock,Y,2008,Lvl,AllPub,Norm,0,WD,TA,5,GasA,0,Detchd,Unf,1,308,TA,1,938,130250
44,7945,mes,1Story,Gable,CBlock,Y,2006,Lvl,AllPub,Norm,0,WD,TA,5,GasA,0,Attchd,RFn,1,300,TA,1,1150,141000
45,7658,NridgHt,1Story,Hip,PConc,Y,2010,Lvl,AllPub,Norm,1,WD,Ex,9,GasA,82,Attchd,RFn,2,576,TA,2,1752,319900
46,12822,Mitchel,1.5Fin,Gable,PConc,Y,2009,Lvl,AllPub,Norm,1,WD,Gd,7,GasA,43,Attchd,RFn,2,670,TA,1,1518,239686
47,11096,Somerst,1Story,Gable,PConc,Y,2007,Lvl,AllPub,Norm,0,WD,Gd,8,GasA,146,Attchd,RFn,3,826,TA,2,1656,249700
48,4456,OldTown,2Story,Gable,BrkTil,Y,2009,Lvl,AllPub,Norm,0,New,TA,4,GasA,0,,,0,0,,2,736,113000
49,7742,Sawyer,1Story,Gable,CBlock,Y,2007,Lvl,AllPub,Norm,0,WD,TA,5,GasA,0,Attchd,Unf,1,386,TA,1,955,127000
50,13869,Gilbert,2Story,Gable,PConc,Y,2007,Lvl,AllPub,Norm,0,WD,TA,6,GasA,75,Attchd,Fin,2,388,TA,2,794,177000
51,6240,BrkSide,1.5Fin,Gable,PConc,Y,2006,Lvl,AllPub,Norm,1,WD,TA,6,GasA,0,Detchd,Unf,2,528,TA,1,816,114500
52,8472,IDOTRR,1Story,Gable,CBlock,N,2010,Bnk,AllPub,RRNn,0,WD,TA,5,GasA,0,CarPort,Unf,2,516,TA,1,816,110000
53,50271,Veenker,1Story,Gable,CBlock,Y,2006,Low,AllPub,Norm,1,WD,Gd,9,GasA,72,Attchd,Fin,3,894,TA,0,1842,385000
54,7134,mes,SLvl,Gable,CBlock,Y,2007,Bnk,AllPub,Norm,1,WD,TA,5,GasA,50,Detchd,Unf,2,572,TA,1,1360,130000
55,10175,mes,1Story,Gable,CBlock,Y,2008,Lvl,AllPub,Norm,1,WD,TA,6,GasA,0,Attchd,RFn,2,576,TA,2,1425,180500
56,2645,Somerst,2Story,Gable,PConc,Y,2009,Lvl,AllPub,Norm,0,WD,Gd,8,GasA,0,Attchd,Fin,2,480,TA,2,983,172500
57,11645,CollgCr,2Story,Gable,PConc,Y,2006,Lvl,AllPub,Norm,0,WD,Gd,7,GasA,70,Attchd,RFn,2,565,TA,2,860,196500
58,13682,StoneBr,2Story,Hip,PConc,Y,2006,HLS,AllPub,Norm,1,New,Gd,10,GasA,0,BuiltIn,Fin,3,641,TA,3,1426,438780
59,7200,CollgCr,1Story,Gable,CBlock,Y,2008,Bnk,AllPub,Norm,0,WD,TA,5,GasA,0,Detchd,Unf,1,352,TA,1,780,124900
60,13072,SawyerW,1Story,Gable,PConc,Y,2006,Lvl,AllPub,RRAe,0,New,Gd,6,GasA,50,Detchd,Unf,2,576,TA,1,1158,158000
61,7200,IDOTRR,2.5Unf,Gable,BrkTil,N,2007,Lvl,AllPub,Norm,0,WD,Fa,5,GasA,0,Detchd,Unf,1,288,TA,1,581,101000
62,6442,NridgHt,1Story,Gable,PConc,Y,2007,Lvl,AllPub,Norm,1,WD,Gd,8,GasA,49,Attchd,RFn,2,484,TA,2,1370,202500
63,10300,OldTown,2Story,Gable,BrkTil,Y,2010,Bnk,AllPub,RRAn,0,WD,TA,7,GasA,11,Detchd,Unf,2,480,TA,2,902,140000
64,9375,CollgCr,2Story,Gable,PConc,Y,2009,Lvl,AllPub,Norm,0,WD,Gd,7,GasA,36,Attchd,RFn,2,645,TA,2,1057,219500
65,9591,NridgHt,2Story,Gable,PConc,Y,2007,Lvl,AllPub,Norm,1,WD,Gd,8,GasA,151,BuiltIn,RFn,3,852,TA,2,1143,317000
66,19900,mes,1Story,Gable,CBlock,Y,2010,Lvl,AllPub,PosA,1,WD,TA,7,GasA,0,Attchd,RFn,2,576,TA,2,2207,180000
67,10665,CollgCr,1Story,Gable,PConc,Y,2007,Lvl,AllPub,Norm,0,WD,Gd,7,GasA,29,Attchd,RFn,2,558,TA,2,1479,226000
68,4608,OldTown,1Story,Gable,CBlock,Y,2010,Lvl,AllPub,Artery,0,WD,TA,4,GasA,0,Attchd,Unf,1,220,TA,1,747,80000
69,15593,ClearCr,1.5Fin,Gable,CBlock,Y,2006,Lvl,AllPub,Norm,1,WD,TA,7,GasW,21,Attchd,Fin,2,667,TA,2,1304,225000
70,13651,mes,1Story,Gable,CBlock,Y,2007,Lvl,AllPub,Norm,2,WD,TA,7,GasA,0,Attchd,Fin,2,516,TA,2,2223,244000
71,7599,Mitchel,1Story,Gable,CBlock,Y,2007,Lvl,AllPub,Norm,0,WD,TA,4,GasA,0,Detchd,Unf,2,360,TA,1,845,129500
72,10141,Gilbert,2Story,Gable,PConc,Y,2009,Lvl,AllPub,Norm,1,WD,TA,7,GasA,94,Attchd,Fin,2,427,TA,2,885,185000
73,10200,mes,1Story,Gable,CBlock,Y,2010,Lvl,AllPub,Norm,0,WD,TA,5,GasA,0,Attchd,Unf,2,490,TA,1,1086,144900
74,5790,OldTown,2Story,Gambrel,CBlock,N,2010,Lvl,AllPub,Norm,0,WD,TA,3,GasA,0,Detchd,Unf,1,379,TA,2,840,107400
75,1596,MeadowV,SLvl,Gable,CBlock,Y,2009,Lvl,AllPub,Norm,0,WD,TA,4,GasA,101,BuiltIn,Unf,1,297,TA,1,526,91000
76,8475,mes,1Story,Gable,CBlock,Y,2008,Lvl,AllPub,Norm,0,WD,TA,4,GasA,0,Detchd,Unf,1,283,TA,1,952,135750
77,8635,BrkSide,1.5Fin,Gable,CBlock,Y,2008,Lvl,AllPub,Norm,0,WD,TA,5,GasA,0,Detchd,Unf,1,240,TA,1,1072,127000
78,10778,Sawyer,1Story,Hip,CBlock,N,2010,Lvl,AllPub,Norm,0,WD,TA,4,GasA,0,,,0,0,,2,1768,136500
79,10440,OldTown,2Story,Gable,PConc,Y,2009,Lvl,AllPub,Norm,0,WD,TA,5,GasA,0,Detchd,Unf,2,440,TA,1,682,110000
80,13000,mes,2Story,Gable,CBlock,Y,2009,Lvl,AllPub,Norm,1,WD,Gd,6,GasA,72,Attchd,Fin,1,509,TA,2,1182,193500
81,4500,Mitchel,1Story,Hip,PConc,Y,2006,Lvl,AllPub,Norm,0,WD,TA,6,GasA,199,Attchd,Fin,2,405,TA,2,1337,153500
82,10206,Somerst,1Story,Gable,PConc,Y,2008,Lvl,AllPub,Norm,1,WD,Gd,8,GasA,99,Attchd,RFn,3,758,TA,2,1563,245000
83,8892,mes,1Story,Gable,CBlock,Y,2007,Lvl,AllPub,Norm,0,COD,TA,5,GasA,0,Detchd,Unf,2,461,TA,1,1065,126500
84,8530,Gilbert,SLvl,Gable,PConc,Y,2009,Lvl,AllPub,Norm,1,WD,TA,7,GasA,72,BuiltIn,Fin,2,400,TA,2,804,168500
85,16059,NoRidge,2Story,Hip,CBlock,Y,2006,Lvl,AllPub,Norm,1,WD,Gd,8,GasA,82,Attchd,Unf,2,462,TA,2,1301,260000
86,11911,Gilbert,2Story,Gable,PConc,Y,2009,Lvl,AllPub,Norm,1,WD,Gd,6,GasA,38,BuiltIn,Fin,2,400,TA,2,684,174000
